UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
5248,65432152427,654321,303.6,313.1,1405,38.3,58,0,0
5249,78912320108,789123,303.5,313,1902,21.6,60,0,0
5250,78912320109,789123,303.4,312.9,1422,39.9,63,0,0
5251,65432152430,654321,303.5,312.9,1332,52.9,66,0,0
5252,78912320111,789123,303.4,312.9,1307,54.3,68,0,0
5253,65432152432,654321,303.5,313,1322,59.5,71,0,0
5254,65432152433,654321,303.5,313,1547,40.3,73,0,0
5255,65432152434,654321,303.5,313.1,1897,23.6,75,0,0
5256,78912320115,789123,303.5,313,1403,51.9,77,0,0
5257,65432152436,654321,303.5,313,1393,51.6,80,0,0
5258,65432152437,654321,303.5,313,1482,38.5,82,0,0
5259,78912320118,789123,303.5,312.9,1572,44.7,84,0,0
5260,65432152439,654321,303.5,312.9,1544,36.9,87,0,0
5261,78912320120,789123,303.5,313,1492,46.1,89,0,0
5262,65432152441,654321,303.4,312.8,1513,35.8,92,0,0
5263,65432152442,654321,303.4,312.8,1449,43.9,94,0,0
5264,65432152443,654321,303.5,312.8,1877,22.3,96,0,0
5265,65432152444,654321,303.4,312.8,1376,53.4,98,0,0
5266,78912320125,789123,303.5,312.9,1883,23.3,100,0,0
5267,78912320126,789123,303.4,312.8,1518,38.7,103,0,0
5268,78912320127,789123,303.5,312.9,1438,42.8,106,0,0
5269,65432152448,654321,303.4,312.9,1389,54.1,109,0,0
5270,65432152449,654321,303.5,312.9,1504,44.8,111,0,0
5271,65432152450,654321,303.5,312.9,1275,64.4,113,0,0
5272,65432152451,654321,303.6,313,1534,39.7,115,0,0
5273,78912320132,789123,303.6,313,1396,38.2,117,0,0
5274,65432152453,654321,303.6,313.1,1395,44.1,120,0,0
5275,65432152454,654321,303.6,313,1617,30.9,122,0,0
5276,65432152455,654321,303.7,313.1,1423,41.2,124,0,0
5277,65432152456,654321,303.5,313,1606,34,126,0,0
5278,65432152457,654321,303.5,312.9,1501,44,128,0,0
5279,78912320138,789123,303.5,312.9,1618,30.4,130,0,0
5280,65432152459,654321,303.6,313,1522,35.8,133,0,0
5281,65432152460,654321,303.6,312.9,1480,41.4,135,0,0
5282,78912320141,789123,303.7,313,1469,39.9,137,0,0
5283,12345634696,123456,303.8,313.2,1381,52.4,140,0,0
5284,65432152463,654321,303.8,313.2,1525,41.9,145,0,0
5285,78912320144,789123,303.8,313.2,1732,29.6,147,0,0
5286,65432152465,654321,303.8,313.1,1523,39.8,150,0,0
5287,65432152466,654321,303.8,313.1,1422,42.4,152,0,0
5288,12345634701,123456,303.8,313.2,1506,46.9,154,0,0
5289,65432152468,654321,303.8,313.2,1531,39.4,159,0,0
5290,78912320149,789123,303.9,313.3,1507,34.3,161,0,0
5291,65432152470,654321,303.9,313.3,1526,40.7,164,0,0
5292,65432152471,654321,303.8,313.3,1406,52.1,166,0,0
5293,78912320152,789123,303.9,313.3,1567,35,168,0,0
5294,78912320153,789123,303.9,313.4,1464,49.1,171,0,0
5295,65432152474,654321,303.9,313.4,1442,48.5,174,0,0
5296,65432152475,654321,303.8,313.2,1336,47.8,176,0,0
5297,12345634710,123456,303.8,313.2,1379,50.2,178,0,0
5298,65432152477,654321,303.7,313.1,1406,48.6,183,0,0
5299,78912320158,789123,303.7,313.1,2130,18.1,185,0,0
5300,65432152479,654321,303.7,313.1,1355,49.1,188,0,0
5301,78912320160,789123,303.8,313.2,1710,26.5,190,0,0
5302,65432152481,654321,303.8,313.1,1309,55.8,193,0,0
5303,65432152482,654321,303.9,313.1,1491,37.2,195,0,0
5304,65432152483,654321,303.9,313.2,1481,44.1,197,0,0
5305,65432152484,654321,303.9,313.1,1425,49.3,199,0,0
5306,12345634719,123456,303.9,313.2,1680,29.1,201,0,0
5307,12345634720,123456,304,313.2,1612,31.7,206,0,0
5308,65432152487,654321,304,313.3,1530,34.8,211,0,0
5309,65432152488,654321,304,313.2,1481,42.6,213,0,0
5310,78912320169,789123,303.9,313.2,1422,48,215,1,3
5311,65432152490,654321,303.8,313,1427,43,0,0,0
5312,12345634725,123456,303.7,312.9,1460,49.8,2,0,0
5313,65432152492,654321,303.6,312.9,1873,23.5,7,0,0
5314,78912320173,789123,303.7,312.9,1566,32.6,9,0,0
5315,65432152494,654321,303.6,312.8,1701,30.8,12,0,0
5316,65432152495,654321,303.6,312.8,1710,27.2,14,0,0
5317,78912320176,789123,303.6,312.8,1689,33.1,16,0,0
5318,65432152497,654321,303.6,312.7,1637,32.9,19,0,0
5319,65432152498,654321,303.5,312.6,1496,39,21,0,0
5320,78912320179,789123,303.5,312.7,1402,47,23,0,0
5321,65432152500,654321,303.4,312.7,1363,45.5,26,0,0
5322,78912320181,789123,303.4,312.7,1576,49.9,28,0,0
5323,78912320182,789123,303.4,312.7,1357,55.3,31,0,0
5324,78912320183,789123,303.4,312.7,1399,48.4,34,0,0
5325,78912320184,789123,303.4,312.8,1526,30.8,37,0,0
5326,65432152505,654321,303.5,312.7,1694,27.3,40,0,0
5327,78912320186,789123,303.5,312.7,1420,49.1,42,0,0
5328,78912320187,789123,303.5,312.7,2116,16.7,45,0,0
5329,78912320188,789123,303.7,312.9,1406,41.9,48,0,0
5330,65432152509,654321,303.7,313,1456,45.5,51,0,0
5331,65432152510,654321,303.6,312.9,1588,31.9,53,0,0
5332,65432152511,654321,303.7,312.8,1448,44.5,55,0,0
5333,12345634746,123456,303.6,312.7,1403,46.2,57,0,0
5334,78912320193,789123,303.5,312.6,1405,51.6,62,0,0
5335,78912320194,789123,303.4,312.6,2706,9.8,65,1,1
5336,78912320195,789123,303.3,312.4,1505,38.9,68,0,0
5337,65432152516,654321,303.2,312.4,1663,33.7,71,0,0
5338,78912320197,789123,303.3,312.6,1482,44.4,73,0,0
5339,78912320198,789123,303.3,312.5,1674,32.7,76,0,0
5340,78912320199,789123,303.4,312.7,1594,32.8,79,0,0
5341,65432152520,654321,303.5,312.7,1393,49.3,82,0,0
5342,12345634755,123456,303.5,312.8,1404,55.8,84,0,0
5343,78912320202,789123,303.5,312.8,1375,45.7,89,0,0
5344,65432152523,654321,303.5,312.8,1607,38.4,92,0,0
5345,65432152524,654321,303.4,312.8,1360,50.8,94,0,0
5346,65432152525,654321,303.5,312.8,1524,39.4,96,0,0
5347,65432152526,654321,303.4,312.7,1534,35.5,98,0,0
5348,65432152527,654321,303.3,312.7,1262,63.8,100,0,0
5349,65432152528,654321,303.3,312.6,1623,34.6,102,0,0
5350,78912320209,789123,303.3,312.7,1642,33.6,104,0,0
5351,78912320210,789123,303.4,312.8,1622,35.1,107,0,0
5352,78912320211,789123,303.5,312.9,1530,34.5,110,0,0
5353,78912320212,789123,303.4,312.8,1590,36.3,113,0,0
5354,65432152533,654321,303.4,312.7,1589,34,116,0,0
5355,65432152534,654321,303.4,312.6,1462,37.5,118,0,0
5356,12345634769,123456,303.3,312.5,1328,49.8,120,0,0
5357,12345634770,123456,303.3,312.6,1692,29,125,0,0
5358,65432152537,654321,303.3,312.5,1968,20.6,130,0,0
5359,12345634772,123456,303.3,312.6,1827,24.2,132,0,0
5360,78912320219,789123,303.3,312.6,1397,47.1,137,0,0
5361,65432152540,654321,303.3,312.6,1463,44,140,0,0
5362,65432152541,654321,303.3,312.7,1643,30.7,142,0,0
5363,65432152542,654321,303.2,312.6,1281,57,144,0,0
5364,65432152543,654321,303.2,312.5,1518,39.9,146,0,0
5365,65432152544,654321,303.2,312.6,1601,35.3,148,0,0
5366,65432152545,654321,303.1,312.6,1548,36.4,150,0,0
5367,12345634780,123456,303.1,312.6,1404,40.6,152,0,0
5368,78912320227,789123,303.1,312.5,1766,26.7,157,0,0
5369,78912320228,789123,303.1,312.5,1667,30,160,0,0
5370,12345634783,123456,303,312.5,1507,37.9,163,0,0
5371,12345634784,123456,303,312.4,1627,37.1,168,0,0
5372,65432152551,654321,302.9,312.3,1435,47.7,173,0,0
5373,12345634786,123456,302.9,312.3,1509,46.8,175,0,0
5374,78912320233,789123,302.9,312.3,1809,25,180,0,0
5375,65432152554,654321,302.9,312.3,1515,40.8,183,0,0
5376,65432152555,654321,302.9,312.3,1530,34.9,185,0,0
5377,12345634790,123456,302.8,312.3,1336,57.5,187,0,0
5378,65432152557,654321,302.9,312.4,2030,19.1,192,0,0
5379,65432152558,654321,302.9,312.4,1550,36.9,194,0,0
5380,65432152559,654321,302.9,312.4,1446,41.7,196,0,0
5381,65432152560,654321,302.8,312.3,1494,37.5,198,0,0
5382,65432152561,654321,302.8,312.4,1651,27,200,0,0
5383,65432152562,654321,302.9,312.4,1698,33.8,202,0,0
5384,65432152563,654321,302.8,312.3,1504,40.3,204,0,0
5385,78912320244,789123,302.9,312.4,1421,46,206,0,0
5386,12345634799,123456,302.9,312.3,1754,26.9,209,0,0
5387,65432152566,654321,302.9,312.2,1469,42,214,0,0
5388,65432152567,654321,302.8,312.2,1433,50,216,0,0
5389,78912320248,789123,302.8,312.3,1432,49,218,0,0
5390,65432152569,654321,302.8,312.3,1366,49.1,221,0,0
5391,12345634804,123456,302.8,312.3,1483,47.2,223,0,0
5392,65432152571,654321,302.7,312.2,1572,34.4,228,0,0
5393,65432152572,654321,302.8,312.2,1481,40.2,230,0,0
5394,65432152573,654321,302.8,312.3,1473,42.6,232,0,0
5395,78912320254,789123,302.8,312.3,1262,70.5,234,1,1
5396,65432152575,654321,302.8,312.4,1529,36.8,237,0,0
5397,65432152576,654321,302.8,312.4,1523,39.7,239,0,0
5398,78912320257,789123,302.8,312.3,1416,42.7,241,0,0
5399,65432152578,654321,302.9,312.4,1923,23.9,244,0,0
5400,12345634813,123456,302.8,312.4,1411,53.8,246,1,2
5401,65432152580,654321,302.7,312.4,1477,46.3,251,1,2
5402,78912320261,789123,302.6,312.3,1454,54.8,253,1,3
5403,65432152582,654321,302.7,312.3,1421,48.5,0,0,0
5404,65432152583,654321,302.7,312.3,1858,25.4,2,0,0
5405,12345634818,123456,302.8,312.5,1422,46.1,4,0,0
5406,65432152585,654321,302.7,312.4,1444,48.7,9,0,0
5407,65432152586,654321,302.7,312.4,1360,47.8,11,0,0
5408,65432152587,654321,302.7,312.4,1954,24.8,13,0,0
5409,65432152588,654321,302.6,312.4,1628,33,15,0,0
5410,65432152589,654321,302.7,312.4,1433,44.2,17,0,0
5411,78912320270,789123,302.7,312.5,1417,51.5,19,0,0
5412,65432152591,654321,302.8,312.6,1462,39.4,22,0,0
5413,65432152592,654321,302.9,312.6,1328,59.9,24,0,0
5414,12345634827,123456,302.7,312.5,1527,36.4,26,0,0
5415,65432152594,654321,302.6,312.3,1534,34.3,31,0,0
5416,78912320275,789123,302.6,312.4,1410,50.3,33,0,0
5417,65432152596,654321,302.6,312.3,1660,30.3,36,0,0
5418,65432152597,654321,302.6,312.4,1386,45.8,38,0,0
5419,65432152598,654321,302.6,312.4,1398,41.6,40,0,0
5420,65432152599,654321,302.6,312.3,1321,53.4,42,0,0
5421,65432152600,654321,302.6,312.3,1512,34.2,44,0,0
5422,78912320281,789123,302.6,312.3,1566,36.6,46,0,0
5423,78912320282,789123,302.7,312.4,1422,44.5,49,0,0
5424,65432152603,654321,302.6,312.3,1647,31.8,52,0,0
5425,65432152604,654321,302.6,312.2,1377,45.5,54,0,0
5426,65432152605,654321,302.5,312.2,1775,27.9,56,0,0
5427,65432152606,654321,302.6,312.3,1554,42,58,0,0
5428,65432152607,654321,302.7,312.4,1423,51.9,60,0,0
5429,65432152608,654321,302.7,312.4,1453,47.3,62,0,0
5430,65432152609,654321,302.8,312.4,1590,34.4,64,0,0
5431,65432152610,654321,302.8,312.5,1694,28.4,66,0,0
5432,65432152611,654321,302.8,312.5,1462,43.4,68,0,0
5433,65432152612,654321,302.8,312.4,1392,46.2,70,0,0
5434,65432152613,654321,302.9,312.5,1550,45.5,72,0,0
5435,65432152614,654321,302.9,312.5,1629,30.4,74,0,0
5436,78912320295,789123,303,312.5,1524,42.1,76,0,0
5437,78912320296,789123,302.9,312.5,1679,30.9,79,0,0
5438,78912320297,789123,302.9,312.6,1394,46.4,82,0,0
5439,65432152618,654321,302.9,312.5,1683,32.1,85,0,0
5440,65432152619,654321,303,312.5,1626,30.5,87,0,0
5441,12345634854,123456,303,312.5,1698,30,89,0,0
5442,78912320301,789123,303,312.6,1392,42.9,94,0,0
5443,65432152622,654321,303.1,312.7,1353,51.8,97,0,0
5444,78912320303,789123,303,312.7,1426,46.8,99,0,0
5445,65432152624,654321,303,312.7,2024,19.9,102,0,0
5446,78912320305,789123,303,312.8,1648,32.1,104,0,0
5447,65432152626,654321,303.1,312.9,1511,40.1,107,0,0
5448,65432152627,654321,303.1,312.8,1465,44.1,109,0,0
5449,65432152628,654321,303,312.7,1551,41.8,111,0,0
5450,65432152629,654321,303.1,312.8,2329,15.1,113,0,0
5451,12345634864,123456,303.1,312.8,1435,41.9,115,0,0
5452,65432152631,654321,303,312.7,1361,48.8,120,0,0
5453,78912320312,789123,303,312.7,1553,35.8,122,0,0
5454,65432152633,654321,303,312.6,1451,42.1,125,0,0
5455,65432152634,654321,303,312.5,1461,40.2,127,0,0
5456,78912320315,789123,303.1,312.6,1895,23.5,129,0,0
5457,78912320316,789123,303.1,312.6,1567,32.9,132,0,0
5458,78912320317,789123,303,312.5,1602,33.7,135,0,0
5459,65432152638,654321,303.1,312.6,1514,42.1,138,0,0
5460,65432152639,654321,303.1,312.5,1453,49.1,140,0,0
5461,78912320320,789123,303,312.4,1526,36.1,142,0,0
5462,78912320321,789123,302.9,312.3,1339,52.1,145,0,0
5463,65432152642,654321,302.9,312.3,1889,22.8,148,0,0
5464,65432152643,654321,302.9,312.4,1561,34.8,150,0,0
5465,78912320324,789123,302.9,312.4,1659,33.1,152,0,0
5466,65432152645,654321,302.9,312.4,1424,49.5,155,0,0
5467,78912320326,789123,302.9,312.3,1426,44.7,157,0,0
5468,65432152647,654321,302.9,312.4,1383,51.4,160,0,0
5469,65432152648,654321,302.8,312.3,1764,29.9,162,0,0
5470,78912320329,789123,302.7,312.2,1439,42.5,164,0,0
5471,78912320330,789123,302.7,312.2,1585,35.5,167,0,0
5472,65432152651,654321,302.7,312.3,1346,61.2,170,0,4
5473,65432152652,654321,302.8,312.3,1386,57.8,172,0,0
5474,65432152653,654321,302.7,312.2,1369,51.8,174,0,0
5475,78912320334,789123,302.7,312.1,1378,46.9,176,0,0
5476,65432152655,654321,302.7,312.2,1336,46.8,179,0,0
5477,78912320336,789123,302.6,312.1,1445,42,181,0,0
5478,65432152657,654321,302.7,312.1,1763,26.5,184,0,0
5479,65432152658,654321,302.7,312.2,1611,34.1,186,0,0
5480,78912320339,789123,302.7,312.1,1564,32.1,188,0,0
5481,12345634894,123456,302.7,312.1,1478,36,191,0,0
5482,65432152661,654321,302.6,312,1781,28.5,196,0,0
5483,65432152662,654321,302.6,312.1,1782,26.8,198,0,0
5484,78912320343,789123,302.6,312.1,2000,21.9,200,0,0
5485,78912320344,789123,302.5,312,1826,25.3,203,0,0
5486,65432152665,654321,302.6,312.1,1344,51,206,0,0
5487,65432152666,654321,302.6,312.2,1520,43,208,0,0
5488,78912320347,789123,302.6,312.1,1611,39.9,210,0,0
5489,65432152668,654321,302.7,312.2,1450,52.1,213,1,2
5490,65432152669,654321,302.6,312.1,1499,35,215,0,4
5491,65432152670,654321,302.6,312.1,1288,68.5,0,1,1
5492,78912320351,789123,302.7,312.2,1350,58.6,2,0,0
5493,78912320352,789123,302.9,312.4,1334,50.9,5,0,0
5494,65432152673,654321,302.8,312.4,1376,57.1,8,0,0
5495,65432152674,654321,302.8,312.4,1368,49.5,10,0,0
5496,12345634909,123456,302.9,312.5,1357,55,12,0,4
5497,78912320356,789123,302.9,312.5,1924,24,17,0,0
5498,78912320357,789123,302.9,312.5,1551,40,20,0,0
5499,78912320358,789123,302.9,312.5,1903,21.2,23,0,0
5500,12345634913,123456,302.9,312.3,1417,48.7,26,0,0
5501,65432152680,654321,302.7,312.1,1601,35.2,31,0,0
5502,65432152681,654321,302.7,312.1,1543,37.5,33,0,0
5503,65432152682,654321,302.6,312.1,1439,52.3,35,0,0
5504,12345634917,123456,302.6,312,1657,29.3,37,0,0
5505,65432152684,654321,302.8,312.2,1458,51,42,0,0
5506,65432152685,654321,302.8,312.2,1746,27.4,44,0,0
5507,65432152686,654321,302.9,312.2,1677,30.5,46,0,0
5508,65432152687,654321,302.8,312.1,1520,39.9,48,0,0
5509,65432152688,654321,302.9,312.2,1367,55.1,50,0,0
5510,65432152689,654321,302.8,312.2,1509,36.5,52,0,4
5511,65432152690,654321,302.8,312.1,1418,51.4,54,0,0
5512,65432152691,654321,302.8,312.1,1958,20.3,56,0,0
5513,65432152692,654321,302.8,312.2,1682,30.9,58,0,0
5514,78912320373,789123,302.8,312.2,1452,50.3,60,0,0
5515,65432152694,654321,302.7,312,1828,24,63,0,0
5516,12345634929,123456,302.7,312,1484,41.5,65,0,0
5517,65432152696,654321,302.6,312,1674,32.2,70,0,0
5518,65432152697,654321,302.6,311.9,1448,49.5,72,0,0
5519,78912320378,789123,302.5,311.8,2023,19.1,74,0,0
5520,65432152699,654321,302.5,311.9,1452,47.4,77,0,0
5521,78912320380,789123,302.6,312,1496,45,79,0,0
5522,65432152701,654321,302.6,311.9,1397,46.9,82,0,0
5523,65432152702,654321,302.6,311.9,1453,39.1,84,0,0
5524,78912320383,789123,302.5,311.9,1524,34.8,86,0,0
5525,65432152704,654321,302.6,311.9,1633,30.9,89,0,0
5526,78912320385,789123,302.6,312,1363,45.7,91,0,0
5527,65432152706,654321,302.5,311.9,1520,44.9,94,0,0
5528,78912320387,789123,302.5,311.9,1532,38.8,96,0,0
5529,65432152708,654321,302.4,311.8,1384,50.9,99,0,0
5530,78912320389,789123,302.4,311.8,1539,39.9,101,0,0
5531,78912320390,789123,302.3,311.8,1355,50.1,104,0,0
5532,78912320391,789123,302.3,311.7,1504,37.3,107,0,0
5533,65432152712,654321,302.4,311.8,1476,46.6,110,0,0
5534,65432152713,654321,302.4,311.7,1721,26.9,112,0,0
5535,78912320394,789123,302.3,311.7,1494,37.1,114,0,0
5536,65432152715,654321,302.3,311.7,1465,43.5,117,0,0
5537,78912320396,789123,302.3,311.8,1363,54,119,1,0
5538,65432152717,654321,302.4,311.8,1648,30,122,0,0
5539,78912320398,789123,302.3,311.8,1879,23,124,0,0
5540,12345634953,123456,302.3,311.7,1482,39,127,0,0
5541,65432152720,654321,302.4,311.8,1493,38.4,132,0,0
5542,65432152721,654321,302.4,311.8,1433,42.2,134,0,0
5543,65432152722,654321,302.3,311.7,1400,41.6,136,0,0
5544,65432152723,654321,302.4,311.8,1255,59,138,0,0
5545,65432152724,654321,302.2,311.7,1471,45.6,140,0,0
5546,12345634959,123456,302.2,311.6,1357,44.2,142,0,0
5547,65432152726,654321,302.3,311.7,1453,41.2,147,0,0
5548,78912320407,789123,302.3,311.7,1540,28.9,149,0,0
5549,65432152728,654321,302.3,311.8,1605,35.2,152,0,0
5550,12345634963,123456,302.3,311.9,1374,52.4,154,0,0
5551,78912320410,789123,302.3,311.9,1508,42.3,159,0,0
5552,12345634965,123456,302.4,311.9,1366,47.3,162,0,0
5553,12345634966,123456,302.5,312,1579,35.7,167,0,0
5554,65432152733,654321,302.5,311.9,1306,59.7,172,0,4
5555,78912320414,789123,302.5,312,1521,40.2,174,0,0
5556,65432152735,654321,302.5,312,1411,44.2,177,0,0
5557,12345634970,123456,302.5,312,1357,42,179,0,0
5558,78912320417,789123,302.5,312,1436,43.5,184,0,0
5559,65432152738,654321,302.5,311.9,1553,40.1,187,0,0
5560,78912320419,789123,302.5,312,1451,43.2,189,0,0
5561,65432152740,654321,302.4,311.9,1541,37.9,192,0,0
5562,78912320421,789123,302.3,311.7,1341,46.3,194,0,0
5563,65432152742,654321,302.3,311.7,1648,32.1,197,0,0
5564,78912320423,789123,302.3,311.7,1640,31.5,199,0,0
5565,65432152744,654321,302.4,311.8,1416,46.1,202,0,0
5566,65432152745,654321,302.4,311.9,1671,29.9,204,0,0
5567,65432152746,654321,302.4,312,1457,45.5,206,0,0
5568,78912320427,789123,302.5,312,1445,54.8,0,0,0
5569,65432152748,654321,302.5,312.1,1534,38.6,3,0,0
5570,65432152749,654321,302.4,312,1508,36.9,5,0,0
5571,78912320430,789123,302.4,312.1,1492,47.7,7,0,0
5572,65432152751,654321,302.4,312,1562,37.9,10,0,0
5573,65432152752,654321,302.4,312,1545,36.4,12,0,0
5574,65432152753,654321,302.5,312.2,1738,25.3,14,0,0
5575,65432152754,654321,302.4,312,1305,49.1,16,0,0
5576,12345634989,123456,302.4,312,1477,39.7,18,0,0
5577,12345634990,123456,302.4,312,1457,43.4,23,0,0
5578,65432152757,654321,302.4,312.1,1455,40.4,28,0,0
5579,65432152758,654321,302.5,312.2,1574,38.7,30,0,0
5580,65432152759,654321,302.6,312.2,1695,27.1,32,0,0
5581,78912320440,789123,302.6,312.2,1458,38.8,34,0,0
5582,78912320441,789123,302.5,312.1,1454,47.6,37,0,0
5583,65432152762,654321,302.5,312,2052,18.9,40,0,0
5584,65432152763,654321,302.5,312,1673,29.9,42,0,0
5585,65432152764,654321,302.4,311.9,1578,29.9,44,0,0
5586,78912320445,789123,302.5,312,1642,29.1,46,0,0
5587,78912320446,789123,302.4,311.8,1557,31.5,49,0,0
5588,65432152767,654321,302.5,311.9,1481,42.9,52,0,0
5589,78912320448,789123,302.5,311.8,1566,37.6,54,0,0
5590,78912320449,789123,302.5,311.9,1298,57.5,57,0,0
5591,78912320450,789123,302.5,311.9,1340,59.4,60,0,0
5592,65432152771,654321,302.5,312,1574,33.8,63,0,0
5593,65432152772,654321,302.5,311.9,1437,46.7,65,0,0
5594,65432152773,654321,302.6,311.9,1354,48,67,0,0
5595,65432152774,654321,302.6,311.9,1598,35.5,69,0,0
5596,78912320455,789123,302.7,312,1944,21.4,71,0,0
5597,78912320456,789123,302.7,312,1538,36.7,74,0,0
5598,65432152777,654321,302.7,312,1501,37,77,0,0
5599,65432152778,654321,302.8,312.1,1441,52.1,79,0,0
5600,78912320459,789123,302.7,312,1652,31,81,0,0
5601,65432152780,654321,302.8,312.1,1487,36.6,84,0,0
5602,65432152781,654321,302.9,312.2,1605,33.9,86,0,0
5603,65432152782,654321,302.9,312.1,1334,54.7,88,0,0
5604,65432152783,654321,302.9,312.2,1340,57.8,90,0,0
5605,65432152784,654321,302.9,312.2,1513,37.8,92,0,0
5606,65432152785,654321,302.9,312.2,1510,41.4,94,0,0
5607,65432152786,654321,302.9,312.2,1729,23.6,96,0,0
5608,78912320467,789123,302.9,312.2,1745,25.5,98,0,0
5609,78912320468,789123,303.1,312.3,1623,31.6,101,0,0
5610,78912320469,789123,303.1,312.4,1378,50.1,104,0,0
5611,65432152790,654321,303.1,312.4,1407,41.2,107,0,0
5612,78912320471,789123,303,312.3,1674,29.5,109,0,0
5613,65432152792,654321,303,312.3,1486,42.4,112,0,0
5614,78912320473,789123,303,312.3,1483,38.8,114,0,0
5615,12345635028,123456,303,312.2,1624,28.8,117,0,0
5616,78912320475,789123,303,312.2,1257,71.3,122,1,1
5617,65432152796,654321,303,312.3,1480,41.4,125,0,0
5618,65432152797,654321,303.1,312.4,1404,61.5,127,1,1
5619,78912320478,789123,303,312.4,1645,29.6,129,0,0
5620,65432152799,654321,303,312.3,1932,21.9,132,0,0
5621,65432152800,654321,303,312.3,1533,38.5,134,0,0
5622,78912320481,789123,302.9,312.2,1292,54.4,136,0,0
5623,65432152802,654321,302.9,312.2,1571,40.6,139,0,0
5624,65432152803,654321,302.9,312.3,1578,36.3,141,0,0
5625,78912320484,789123,302.8,312.2,1469,36.9,143,0,0
5626,65432152805,654321,302.7,312.1,1728,24.4,146,0,0
5627,12345635040,123456,302.7,312.1,1603,32.5,148,0,0
5628,65432152807,654321,302.7,312.1,1597,39.8,153,0,0
5629,65432152808,654321,302.7,312.1,1688,32,155,0,0
5630,65432152809,654321,302.7,312.2,1405,51.4,157,0,0
5631,78912320490,789123,302.8,312.2,1615,32.9,159,0,0
5632,65432152811,654321,302.8,312.2,1515,36.8,162,0,0
5633,65432152812,654321,302.7,312.2,1376,52.8,164,0,0
5634,65432152813,654321,302.7,312.2,1447,47.5,166,0,0
5635,78912320494,789123,302.6,312.2,1353,56.5,168,0,0
5636,65432152815,654321,302.6,312.1,1502,47.3,171,0,0
5637,65432152816,654321,302.6,312,1447,45.5,173,0,0
5638,78912320497,789123,302.5,312,1487,46.1,175,0,0
5639,65432152818,654321,302.6,312.1,1519,38.1,178,0,0
5640,65432152819,654321,302.6,312.1,1668,28.7,180,0,4
5641,65432152820,654321,302.6,312.1,1420,51.6,182,0,0
5642,65432152821,654321,302.6,312.1,1473,37.3,184,0,0
5643,65432152822,654321,302.5,312,1495,38.8,186,0,0
5644,65432152823,654321,302.5,312,1574,42,188,0,0
5645,65432152824,654321,302.5,312,1383,51.3,190,0,0
5646,78912320505,789123,302.5,312,1591,29.4,192,0,0
5647,78912320506,789123,302.4,311.8,1644,37.2,195,0,0
5648,12345635061,123456,302.5,311.8,2370,14.7,198,0,0
5649,65432152828,654321,302.5,311.9,1401,44.9,203,0,0
5650,78912320509,789123,302.5,311.9,1414,51.6,205,0,0
5651,65432152830,654321,302.5,312,1456,46.3,208,0,0
5652,78912320511,789123,302.5,312,1447,45.7,210,0,0
5653,65432152832,654321,302.4,311.8,1727,26.5,213,0,0
5654,65432152833,654321,302.4,311.7,1495,36.8,215,0,0
5655,65432152834,654321,302.3,311.6,1544,34.3,0,0,0
5656,65432152835,654321,302.3,311.5,1387,47.3,2,0,0
5657,78912320516,789123,302.3,311.5,1316,47.2,4,0,0
5658,65432152837,654321,302.3,311.5,1794,26.1,7,0,0
5659,78912320518,789123,302.2,311.4,1372,55.1,9,0,0
5660,78912320519,789123,302.3,311.5,1674,30,12,0,0
5661,65432152840,654321,302.2,311.4,1477,41.7,15,0,0
5662,65432152841,654321,302.2,311.4,1397,53,17,0,0
5663,65432152842,654321,302.2,311.5,1616,34,19,0,0
5664,78912320523,789123,302.3,311.5,1530,42.3,21,0,0
5665,78912320524,789123,302.2,311.4,1539,35.1,24,0,0
5666,65432152845,654321,302.3,311.4,1845,21.9,27,0,0
5667,65432152846,654321,302.2,311.4,1430,43.1,29,0,0
5668,65432152847,654321,302.2,311.4,2080,19.2,31,0,0
5669,78912320528,789123,302.2,311.4,1432,45.3,33,0,0
5670,78912320529,789123,302.2,311.5,1479,39.5,36,0,0
5671,65432152850,654321,302.2,311.5,1424,45.2,39,0,0
5672,12345635085,123456,302.2,311.6,1534,37.2,41,0,0
5673,12345635086,123456,302.1,311.6,1701,26.2,46,0,0
5674,65432152853,654321,302.2,311.6,1462,50,51,0,0
5675,78912320534,789123,302.2,311.7,1393,42.5,53,0,0
5676,78912320535,789123,302.3,311.7,1453,42.5,56,0,0
5677,65432152856,654321,302.3,311.8,1565,37.8,59,0,0
5678,65432152857,654321,302.3,311.8,1281,51.7,61,0,0
5679,78912320538,789123,302.2,311.7,1584,36.2,63,0,0
5680,78912320539,789123,302.2,311.7,1466,49,66,0,0
5681,78912320540,789123,302.2,311.6,1386,50.5,69,0,0
5682,65432152861,654321,302.2,311.6,1383,44.3,72,0,0
5683,12345635096,123456,302.3,311.6,1441,53.9,74,0,0
5684,78912320543,789123,302.2,311.6,1592,37.7,79,0,0
5685,12345635098,123456,302.2,311.6,1594,36.8,82,0,0
5686,65432152865,654321,302.2,311.5,1482,45.6,87,0,0
5687,65432152866,654321,302.2,311.6,1658,31.4,89,0,0
5688,65432152867,654321,302.3,311.7,2170,18.2,91,0,0
5689,78912320548,789123,302.3,311.7,1423,44.6,93,0,0
5690,65432152869,654321,302.4,311.8,1543,31.1,96,0,0
